Timestamp	PTD1 raw (mA)	PTD1 T0 (K)	PTD1 aT (PSI/K)	PTD1 adj (PSI)	PTD2 raw (mA)	PTD2 T0 (K)	PTD2 aT (PSI/K)	PTD2 adj (PSI)	RTD0 Rraw (Ohm)	RTD1 Rraw (Ohm)	DAQ thermistor T (K)
11:37:03.381 AM 2026-08-04 	 4.021660 	 297.647000 	 44.546000 	 -105.759101 	 4.004911 	 297.647000 	 44.546000 	 -105.759101 	 108.705981 	 108.882041 	 298.681277
11:37:08.519 AM 2026-08-04 	 4.031350 	 297.647000 	 44.546000 	 -106.344591 	 4.014976 	 297.647000 	 44.546000 	 -106.344591 	 108.706101 	 108.881803 	 298.680855
11:37:13.640 AM 2026-08-04 	 4.021878 	 297.647000 	 44.546000 	 -105.812394 	 4.011151 	 297.647000 	 44.546000 	 -105.812394 	 108.706041 	 108.881445 	 298.680087
11:37:18.789 AM 2026-08-04 	 4.025860 	 297.647000 	 44.546000 	 -106.058779 	 4.013521 	 297.647000 	 44.546000 	 -106.058779 	 108.706339 	 108.881147 	 298.679740
11:37:23.928 AM 2026-08-04 	 4.021093 	 297.647000 	 44.546000 	 -105.513157 	 4.010111 	 297.647000 	 44.546000 	 -105.513157 	 108.706339 	 108.881624 	 298.679740
11:37:29.046 AM 2026-08-04 	 4.025830 	 297.647000 	 44.546000 	 -106.621179 	 4.010003 	 297.647000 	 44.546000 	 -106.621179 	 108.706458 	 108.881147 	 298.678898
11:37:34.185 AM 2026-08-04 	 4.028078 	 297.647000 	 44.546000 	 -105.682476 	 4.002546 	 297.647000 	 44.546000 	 -105.682476 	 108.706220 	 108.881803 	 298.678303
11:37:39.301 AM 2026-08-04 	 4.038786 	 297.647000 	 44.546000 	 -105.897882 	 4.011752 	 297.647000 	 44.546000 	 -105.897882 	 108.706160 	 108.882220 	 298.678179
11:37:44.422 AM 2026-08-04 	 4.025556 	 297.647000 	 44.546000 	 -106.318708 	 4.001980 	 297.647000 	 44.546000 	 -106.318708 	 108.706160 	 108.882577 	 298.678155
11:37:49.541 AM 2026-08-04 	 4.030681 	 297.647000 	 44.546000 	 -105.942074 	 4.005279 	 297.647000 	 44.546000 	 -105.942074 	 108.706339 	 108.883113 	 298.678130
