Timestamp	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
12:46:30.865 AM 2026-08-02 	 2.044609 	 0.815383 	 295.808259 	 295.437017 	 -66357.757155 	 -66357.757155 	 295.482135 	 295.346500
12:46:35.990 AM 2026-08-02 	 1.750736 	 -0.642542 	 295.808259 	 295.435791 	 -66357.775406 	 -66357.775406 	 295.467141 	 295.358821
12:46:41.135 AM 2026-08-02 	 2.224002 	 0.101282 	 295.807186 	 295.434718 	 -66357.744987 	 -66357.744987 	 295.456657 	 295.360581
12:46:46.252 AM 2026-08-02 	 1.763568 	 0.916642 	 295.807646 	 295.433645 	 -66357.860578 	 -66357.860578 	 295.468431 	 295.355873
12:46:51.399 AM 2026-08-02 	 1.925097 	 0.707575 	 295.807033 	 295.432265 	 -66357.781490 	 -66357.781490 	 295.472817 	 295.345187
12:46:56.501 AM 2026-08-02 	 1.267406 	 0.661732 	 295.807493 	 295.431499 	 -66357.927500 	 -66357.927500 	 295.476239 	 295.350494
12:47:01.598 AM 2026-08-02 	 2.369681 	 0.682639 	 295.807186 	 295.430273 	 -66358.018757 	 -66358.018757 	 295.468137 	 295.354636
12:47:06.738 AM 2026-08-02 	 1.627953 	 0.149141 	 295.807033 	 295.429813 	 -66358.122183 	 -66358.122183 	 295.467147 	 295.368247
12:47:11.880 AM 2026-08-02 	 1.164500 	 0.712109 	 295.806267 	 295.429353 	 -66358.280367 	 -66358.280367 	 295.461202 	 295.357120
12:47:16.989 AM 2026-08-02 	 1.665442 	 0.346872 	 295.806880 	 295.429813 	 -66358.438553 	 -66358.438553 	 295.484452 	 295.363890
12:47:22.155 AM 2026-08-02 	 1.535867 	 0.667777 	 295.806267 	 295.426901 	 -66358.627163 	 -66358.627163 	 295.451790 	 295.348648
12:47:27.289 AM 2026-08-02 	 2.036558 	 1.351400 	 295.805807 	 295.425828 	 -66358.657584 	 -66358.657584 	 295.484877 	 295.355837
12:47:32.423 AM 2026-08-02 	 2.558886 	 0.557954 	 295.805194 	 295.424449 	 -66358.754933 	 -66358.754933 	 295.468794 	 295.352939
12:47:37.549 AM 2026-08-02 	 1.641037 	 -0.093427 	 295.805501 	 295.421996 	 -66358.840114 	 -66358.840114 	 295.457841 	 295.359411
12:47:42.722 AM 2026-08-02 	 2.014165 	 0.147126 	 295.805501 	 295.421537 	 -66358.949634 	 -66358.949634 	 295.464411 	 295.352323
12:47:47.864 AM 2026-08-02 	 2.496237 	 0.545612 	 295.805041 	 295.418471 	 -66359.022648 	 -66359.022648 	 295.456234 	 295.361571
12:47:52.990 AM 2026-08-02 	 2.159340 	 1.059210 	 295.804888 	 295.417552 	 -66359.046986 	 -66359.046986 	 295.447857 	 295.332467
12:47:58.104 AM 2026-08-02 	 2.614491 	 0.261734 	 295.804122 	 295.414639 	 -66359.089578 	 -66359.089578 	 295.478169 	 295.343004
12:48:03.226 AM 2026-08-02 	 1.842320 	 1.615630 	 295.804122 	 295.414333 	 -66359.077409 	 -66359.077409 	 295.474823 	 295.356143
12:48:08.351 AM 2026-08-02 	 2.231550 	 -0.188640 	 295.803662 	 295.412953 	 -66359.138254 	 -66359.138254 	 295.449172 	 295.372406
12:48:13.509 AM 2026-08-02 	 1.229917 	 0.320928 	 295.803815 	 295.412340 	 -66359.193016 	 -66359.193016 	 295.445158 	 295.350022
12:48:18.662 AM 2026-08-02 	 0.948372 	 -0.487379 	 295.804275 	 295.411114 	 -66359.071324 	 -66359.071324 	 295.466322 	 295.361299
12:48:23.766 AM 2026-08-02 	 1.751239 	 1.052409 	 295.804735 	 295.411881 	 -66359.101747 	 -66359.101747 	 295.465034 	 295.366133
