# Mahboub et al. (2026) - Benchtop Conductivity Measurements
#
# Instrument: Thermo Scientific ORION Star A329 Conductivity Meter
# Reference: See Mahboub et al. (2026) manuscript for full methodology
#
# Data description:
# - All measurements from benchtop conductivity probe
# - Gamry impedance data analyzed separately from raw Gamry files
# - Three replicates per condition
# - Temperatures: -10°C, -6°C, -3°C, -1°C, 5°C, 20°C, 25°C
# - Compounds: NaCl, MgSO4, NH4Cl, Na2CO3, Mixture (1:1:1 MgSO4:NaCl:Na2CO3)
#
# Columns:
#   compound: Chemical formula
#   concentration_molal: Molality (mol/kg_H2O)
#   temperature_C: Temperature (Celsius)
#   temperature_K: Temperature (Kelvin)
#   conductivity_Sm: Conductivity (S/m)
#   source: Data source ('benchtop' for all entries)
#   notes: Additional notes (e.g., original concentration in g/kg)
#
compound,concentration_molal,temperature_C,temperature_K,conductivity_Sm,replicate,source,notes
# NaCl benchtop data - concentrations in mol/kg (molal), converted from g/kg by dividing by molar mass 58.44
NH4Cl,1.4021,-10,263.15,6.978,1,benchtop,75 g/kg / 53.491
NH4Cl,1.8695,-10,263.15,8.852,1,benchtop,100 g/kg / 53.491
NH4Cl,0.1869,-10,263.15,0.8184,2,benchtop,
NH4Cl,0.9347,-10,263.15,4.86,2,benchtop,
NH4Cl,1.4021,-10,263.15,7.018,2,benchtop,
NH4Cl,1.8695,-10,263.15,8.949,2,benchtop,
NH4Cl,0.1869,-10,263.15,1.036,3,benchtop,
NH4Cl,0.9347,-10,263.15,4.695,3,benchtop,
NH4Cl,1.4021,-10,263.15,6.83,3,benchtop,
NH4Cl,1.8695,-10,263.15,9.301,3,benchtop,
# Na2CO3 benchtop data
Na2CO3,0.0472,25,298.15,0.8153,1,benchtop,5 g/kg / 105.9888
Na2CO3,0.0943,25,298.15,1.472,1,benchtop,10 g/kg / 105.9888
Na2CO3,0.2359,25,298.15,3.055,1,benchtop,25 g/kg / 105.9888
Na2CO3,0.3774,25,298.15,4.452,1,benchtop,40 g/kg / 105.9888
Na2CO3,0.5189,25,298.15,5.468,1,benchtop,55 g/kg / 105.9888
Na2CO3,0.0472,25,298.15,0.8197,2,benchtop,
Na2CO3,0.0943,25,298.15,1.469,2,benchtop,
Na2CO3,0.2359,25,298.15,3.101,2,benchtop,
Na2CO3,0.3774,25,298.15,4.37,2,benchtop,
Na2CO3,0.5189,25,298.15,5.474,2,benchtop,
Na2CO3,0.0472,25,298.15,0.8316,3,benchtop,
Na2CO3,0.0943,25,298.15,1.456,3,benchtop,
Na2CO3,0.2359,25,298.15,3.071,3,benchtop,
Na2CO3,0.3774,25,298.15,4.344,3,benchtop,
Na2CO3,0.5189,25,298.15,5.412,3,benchtop,
Na2CO3,0.0472,20,293.15,0.7412,1,benchtop,5 g/kg / 105.9888
Na2CO3,0.0943,20,293.15,1.338,1,benchtop,10 g/kg / 105.9888
Na2CO3,0.2359,20,293.15,2.777,1,benchtop,25 g/kg / 105.9888
Na2CO3,0.3774,20,293.15,4.047,1,benchtop,40 g/kg / 105.9888
Na2CO3,0.5189,20,293.15,4.971,1,benchtop,55 g/kg / 105.9888
Na2CO3,0.0472,20,293.15,0.7452,2,benchtop,
Na2CO3,0.0943,20,293.15,1.335,2,benchtop,
Na2CO3,0.2359,20,293.15,2.819,2,benchtop,
