Timestamp	PTD1 (MPa)	PTD2 (MPa)	RTD0_PVtop (K)	RTD1_room (K)	TC0_bath (K)	TC1_PVtop (K)	TC2_PTD2 (K)	TC3_PVside (K)
5:56:42.372 AM 2026-08-31 	 91.712830 	 88.648559 	 303.008685 	 294.959307 	 -66288.559371 	 -66288.559371 	 295.029145 	 295.117277
5:56:47.492 AM 2026-08-31 	 90.879519 	 89.126894 	 303.009146 	 294.959307 	 -66288.674154 	 -66288.674154 	 295.016418 	 295.124345
5:56:52.610 AM 2026-08-31 	 90.737111 	 89.155105 	 303.011910 	 294.959154 	 -66288.764773 	 -66288.764773 	 295.042713 	 295.113406
5:56:57.783 AM 2026-08-31 	 90.565769 	 88.945283 	 303.012217 	 294.960533 	 -66288.825187 	 -66288.825187 	 295.033534 	 295.128734
5:57:02.933 AM 2026-08-31 	 91.107723 	 89.119589 	 303.014367 	 294.962066 	 -66288.873518 	 -66288.873518 	 295.033732 	 295.113381
5:57:08.042 AM 2026-08-31 	 90.786929 	 89.100949 	 303.014367 	 294.964364 	 -66288.988305 	 -66288.988305 	 295.028546 	 295.094058
5:57:13.179 AM 2026-08-31 	 90.167229 	 89.782557 	 303.016671 	 294.964671 	 -66289.103093 	 -66289.103093 	 295.022418 	 295.111965
5:57:18.305 AM 2026-08-31 	 90.634960 	 88.836467 	 303.018360 	 294.966357 	 -66289.211842 	 -66289.211842 	 295.029463 	 295.103457
5:57:23.485 AM 2026-08-31 	 90.291270 	 89.355356 	 303.018668 	 294.966663 	 -66289.344758 	 -66289.344758 	 295.017752 	 295.108714
5:57:28.592 AM 2026-08-31 	 89.841151 	 88.704478 	 303.020971 	 294.968196 	 -66289.495801 	 -66289.495801 	 295.022614 	 295.105563
5:57:33.733 AM 2026-08-31 	 90.166726 	 88.837979 	 303.022814 	 294.968349 	 -66289.501843 	 -66289.501843 	 295.021224 	 295.128680
5:57:38.833 AM 2026-08-31 	 90.905182 	 88.806241 	 303.024657 	 294.970801 	 -66289.598512 	 -66289.598512 	 295.028691 	 295.121065
5:57:43.943 AM 2026-08-31 	 90.918517 	 89.865176 	 303.026807 	 294.970801 	 -66289.616638 	 -66289.616638 	 295.005669 	 295.116898
5:57:49.102 AM 2026-08-31 	 90.535828 	 89.336464 	 303.029572 	 294.971874 	 -66289.652889 	 -66289.652889 	 295.032684 	 295.117046
5:57:54.243 AM 2026-08-31 	 91.606905 	 88.025641 	 303.030340 	 294.973559 	 -66289.713308 	 -66289.713308 	 295.006537 	 295.098915
5:57:59.355 AM 2026-08-31 	 91.819258 	 87.647810 	 303.031722 	 294.975092 	 -66289.719350 	 -66289.719350 	 295.016460 	 295.106008
5:58:04.476 AM 2026-08-31 	 91.025449 	 89.380292 	 303.031261 	 294.976165 	 -66289.652889 	 -66289.652889 	 295.025614 	 295.117046
5:58:09.616 AM 2026-08-31 	 90.500604 	 88.774755 	 303.030954 	 294.976778 	 -66289.658931 	 -66289.658931 	 295.023754 	 295.113772
5:58:14.790 AM 2026-08-31 	 90.552183 	 89.403970 	 303.029111 	 294.977544 	 -66289.640805 	 -66289.640805 	 295.012838 	 295.122652
5:58:19.923 AM 2026-08-31 	 90.735098 	 88.678282 	 303.028804 	 294.978770 	 -66289.664973 	 -66289.664973 	 295.015766 	 295.113797
5:58:25.014 AM 2026-08-31 	 90.801019 	 88.980799 	 303.027575 	 294.978923 	 -66289.671015 	 -66289.671015 	 295.011077 	 295.109580
5:58:30.199 AM 2026-08-31 	 90.473431 	 89.383063 	 303.026346 	 294.979536 	 -66289.592470 	 -66289.592470 	 295.025838 	 295.105488
5:58:35.331 AM 2026-08-31 	 90.646534 	 88.117580 	 303.024811 	 294.980609 	 -66289.616638 	 -66289.616638 	 295.014625 	 295.121610
5:58:40.486 AM 2026-08-31 	 90.389395 	 89.567193 	 303.026039 	 294.979536 	 -66289.513927 	 -66289.513927 	 295.014204 	 295.095270
5:58:45.598 AM 2026-08-31 	 90.737614 	 88.705486 	 303.026346 	 294.981222 	 -66289.556219 	 -66289.556219 	 295.016262 	 295.121834
5:58:50.772 AM 2026-08-31 	 90.312656 	 88.845031 	 303.027882 	 294.982295 	 -66289.574345 	 -66289.574345 	 295.008324 	 295.108242
5:58:55.935 AM 2026-08-31 	 90.125966 	 88.815057 	 303.028343 	 294.982295 	 -66289.719350 	 -66289.719350 	 295.024001 	 295.111663
5:59:01.060 AM 2026-08-31 	 91.014127 	 89.071478 	 303.030954 	 294.983061 	 -66289.652889 	 -66289.652889 	 295.026086 	 295.101966
5:59:06.207 AM 2026-08-31 	 91.146973 	 89.109010 	 303.030800 	 294.983674 	 -66289.755602 	 -66289.755602 	 295.010009 	 295.095789
5:59:11.338 AM 2026-08-31 	 90.677984 	 89.849307 	 303.028036 	 294.983674 	 -66289.791854 	 -66289.791854 	 295.030897 	 295.114317
5:59:16.501 AM 2026-08-31 	 90.847314 	 88.797173 	 303.027729 	 294.982908 	 -66289.936862 	 -66289.936862 	 295.035262 	 295.107371
5:59:21.576 AM 2026-08-31 	 90.700880 	 89.220596 	 303.026346 	 294.983061 	 -66289.997283 	 -66289.997283 	 295.015242 	 295.114688
